2026-03-02 09:37:05 cursor=169,960 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:06 cursor=169,960 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:07 cursor=169,960 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:08 cursor=169,960 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:09 cursor=169,960 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:11 cursor=169,960 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:12 cursor=169,960 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:13 cursor=684,923 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:14 cursor=1387,1048 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:20 cursor=1631,967 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:21 cursor=1621,979 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:22 cursor=1581,957 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:23 cursor=1491,1015 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:24 cursor=1097,-8 monitor=2 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:25 cursor=433,672 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:26 cursor=827,1059 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:27 cursor=-1513,-1307 monitor=1 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:28 cursor=3277,-1167 monitor=3 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:29 cursor=2872,-2002 monitor=2 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:30 cursor=1169,-534 monitor=2 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:31 cursor=588,957 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:32 cursor=583,973 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:33 cursor=577,980 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:34 cursor=577,980 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:35 cursor=577,980 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:36 cursor=577,980 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:38 cursor=577,980 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:39 cursor=577,980 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:40 cursor=577,980 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:41 cursor=577,980 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
2026-03-02 09:37:42 cursor=577,980 monitor=0 overlays=4 monitors=[0:0,0,1920,1200 | 1:-3033,-3239,-873,601 | 2:-873,-2160,2967,0 | 3:2967,-2162,6807,-2]
